拉(抽)(动1) 引く
遵守(保护)(动1) 守る
回答(动2) 答える
逃跑(动2) 逃げる
帮助(救助)(动2) 助ける
添加(附加)(动2) 付ける
记住(掌握)(动2) 覚える
提出(提交)(动3) 提出する
客气(动3) 遠慮する
射门(投篮)(动3) シュートする
注意(动3) 注意する
到齐(齐全)(动1) そろう
顺便去(靠近)(动1) 寄る
开(开张)(动1) 開く
搬迁(搬家)(动1) 引っ越す
迎接(动2) 迎える
出故障(坏)(动2) 壊れる
搞错(动2) 間違える
出发(动3) 出発する
换工作(动3) 転職する
轮胎爆裂(动3) パンクする
按(推)(挤)(动1) 押す
灯亮(灯开)(动1) つく
下降(降低)(动1) 下がる
生气(动1) 怒る
转(传送)(传递)(动1) 回す
运转(转动)(动1) 動く
活(生存)(动2) 生きる
下(下来)(动2) 下りる
总结(整理)(汇集)(动2) まとめる
死机(动3) フリーズする
故障(动3) 故障する
开(举行)(动1) 行う
提高(涨)(动1) 上がる
换乘(动2) 乗り換える
辞去(动2) 辞める
留学(动3) 留学する
入学(动3) 入学する
流行(动3) 流行する
住院(动3) 入院する
打扰(拜访)(动3) お邪魔する
承担(动3) 担当する
关闭(关)(动1) 閉まる
弄坏(动1) 壊す
挂(悬挂)(动1) 掛かる
挂(动2) 掛ける
盖(建造)(动2) 建てる
盖(建)(动1) 建つ
脏(动2) 汚れる
弄脏(动1) 汚す
割开(打破)(打坏)(动1) 割る
裂开(破裂)(动2) 割れる
附带(附加)(动1) 付く
停(停息)(停止)(动1) やむ
排队(排)(列队)(动1) 並ぶ
到(到达)(动1) 着く
戴(动1) かぶる
穿(鞋)(裤子)(动1) はく
饲养(动1) 飼う
熄灭(消失)(动2) 消える
落下(掉)(动2) 落ちる
输(败)(动2) 負ける
烤(烧)(烧毁)(动1) 焼く
挣钱(赚钱)(动1) 稼ぐ
剩余(剩下)(动1) 残る
卷(包裹)(动1) 包む
点菜(请求)(托付)(动1) 頼む
粘(贴)(动1) はる
装饰(动1) 飾る
收拾起来(放到-里边)(动1) しまう
合适(适合)(动1) 合う
放回(返还)(返回)(动1) 戻す
积攒(储存)(动2) ためる
排列(动2) 並べる
寄存(托付)(动2) 預ける
继续(持续)(动2) 続ける
瘦(动2) やせる
拜访(访问)(动3) 訪問する
存钱(储蓄)(动3) 貯金する
欢迎(动3) 歓迎する
准备(动3) 用意する
有效(起作用)(动1) 効く
祝贺(动1) 祝う
中(彩)(抽中)(动1) 当たる
空(有空)(动1) 空く
腐烂(腐败)(动1) 腐る
找到(发现)(看见)(动2) 見つける
晴朗(天晴)(动2) 晴れる
访问(拜访)(动2) 訪ねる
停留(滞留)(动3) 滞在する
休息(动3) 休憩する
参加(动3) 参加する
干杯(动3) 乾杯する
携带(拿着走)(动1) 持ち歩く
反复(动1) 繰り返す
吵嚷(吵闹)(动1) 騒ぐ
来得及(赶得上)(动1) 間に合う
叫(鸣)(啼)(动1) 鳴く
睡觉(动1) 眠る
鸣响(响起)(动1) 鳴る
喜悦(高兴)(动1) 喜ぶ
有用(有益)(动1) 役立つ
雇佣(动1) 雇う
哭(哭泣)(动1) 泣く
挥动(摆动)(动1) 振る
看到(看得见)(动2) 見える
听到(听得见)(动2) 聞こえる
通过(相通)(动2) 通じる
放风筝(扬起)(动2) 揚げる
习惯(动2) 慣れる
淋湿(打湿)(动2) ぬれる
着火(燃烧)(动2) 焼ける
降低(下降)(动2) 下げる
出岔子(失败)(动3) 失敗する
辛苦(辛劳)(动3) 苦労する
吃惊(吓一跳)(动3) びっくりする
出席(动3) 出席する
超过(动2) 超える
参加(出场)(动3) 出場する
释放(动3) 釈放する
偷吃(动3) つまみ食いする
换算(动3) 換算する
复习(动3) 復習する
成功(动3) 成功する
错综复杂(动1) 入り組む
减少(动1) 減る
开动(移动)(摇动)(动1) 動かす
取胜(获胜)(动1) 勝つ
走得出去(穿过)(通过)(动2) 通り抜ける
感觉(觉得)(动2) 感じる
更换(交换)(动2) 取り替える
熬通宵(彻夜)(动3) 徹夜する
烫伤(烧伤)(动3) 火傷する
眺望(远眺)(动1) 見渡す
继续(持续)(动1) 続く
完(丢失)(动1) なくなる
生长(成长)(动1) 育つ
增加(增多)(动2) 増える
带(领)(动2) 連れる
缺席(动3) 欠席する
进口(输入)(动3) 輸入する
往~去(动1) 向かう
备齐(凑齐)(使一致)(动2) そろえる
漏(泄漏)(动2) 漏れる
开通(动3) 開通する
改建(动3) 改築する
完成(动3) 完成する
入社(动3) 入社する
训(责备)(斥责)(动1) しかる
咬(嚼)(动1) かむ
邀请(约请)(动1) 誘う
卷入(卷进)(动1) 巻き込む
到达(达到)(动1) 至る
找到(发现)(动1) 見つかる
踩(踏)(动1) 踏む
谋求(考虑)(动1) 図る
预料(估计)(动1) 見込む
盗取(偷盗)(动1) 盗む
叫醒(唤醒)(动1) 起こす
表扬(赞扬)(动2) ほめる
要求(追求)寻求(动2) 求める
欺负(折磨)(欺侮)(动2) いじめる
碰上(撞上)(扔)(投)(掷)(动2) ぶつける
发现(动3) 発見する
辞职(动3) 辞職する
成立(创立)(动3) 創立する
委托(请求)(动3) 依頼する
上市(发售)(出售)(动3) 発売する
开发(动3) 開発する
生产(制造)(动3) 製造する
管理(动3) 管理する
实现(动3) 実現する
精炼(洗练)(动3) 洗練する
广播(播送)(动3) 放送する
生产(动3) 生産する
翻译(笔译)(动3) 翻訳する
发明(动3) 発明する
保管(收存)(动1) 預かる
发觉(发现)(动1) 気づく
冰镇(冷却)(动1) 冷やす
想起(想出)(动1) 思い出す
说(告诉)(动2) 告げる
变冷(感觉凉)(动2) 冷える
相信(信任)(动2) 信じる
折(断)(拐弯)(动2) 折れる
上班(出勤)(动3) 出勤する
设定(设置)(动3) セットする
讨论(动3) 検討する
