行李员[手荷物係] てにもつがかり
什么样的/怎样的 どのような
姓名牌/姓名卡[名札] なふだ
可以/行/好(形1) よろしい
工作人员/职员[職員] しょくいん
呼叫/传唤(名)[呼び出し] よびだし
广播/报告/通知 アナウンス
到底/究竟 いったい
大厅 ロビー
过一会儿/随后[後ほど] のちほど
与～一样/按照～那样/原样/同样 どおり
胡扯/荒唐/不合理(形2) ばか
破/撕破(动2)[破れる] やぶれる
弄破(动1)[破く] やぶく
饭后[食後] しょくご
甜点/餐后点心 デザート
愿望/希望[希望] きぼう
研究生院[大学院] だいがくいん
办理/处理/对待[取り扱い] とりあつかい
详细情况[詳細] しょうさい
呼叫/叫出(动1)[呼び出す] よびだす
带口信/捎话/传话(动2) ことづける
取消/废除 キャンセル
口信/嘱托 ことづけ
不会/不可能 ことはない
等待 まち
日本航空(公司)[日本航空] にほんこうくう
巴黎 パリ
经由/经过[経由] けいゆ
罗马 ローマ
成田[成田] なりた
观光/游览[観光] かんこう
参观/学习[見学] けんがく
那不勒斯 ナポリ
自由活动[自由行動] じゆうこうどう
翌日/次日/第二天[翌日] よくじつ
入境[入国] にゅうこく
担心/不安/不放心(形2)[不安] ふあん
笑眯眯/微笑 にこにこ
导游 ガイド
起床[起床] きしょう
土特产店老板/土特产店/礼品店[土産物屋] みやげものや
招呼/呼唤(动2)[呼びかける] よびかける
不说话/不出声/沉默(动1)[黙る] だまる
东方人/亚洲人[東洋人] とうようじん
顺序/次序[順] じゅん
庞贝古城 ポンペイ
公元/公历/阳历[西暦] せいれき
火山[火山] かざん
爆发[爆発] ばくはつ
埋上/埋藏(动1)[埋まる] うまる
角落/旮旯[隅] すみ
群/组/集团 グループ
不由得/总觉得 なんとなく
放松/放心/松气 ほっと
莞尔/微笑/嫣然一笑 にっこり
相通(动2)[相通じる] あいつうじる
～出发[～発] はつ
～晚[～泊] はく
～店主/～店/～铺[～屋] や
最后一天[最終日] さいしゅうび
结束/终了(动3)[終了する] しゅうりょうする
轻飘飘/软绵绵(副) ふわふわ
磨磨蹭蹭/慢腾腾(副) ぐずぐず
发呆/精神恍惚/模糊/不清楚(副) ぼんやり
焦躁不安/焦急(副) いらいら
欢欣雀跃/兴奋(副) わくわく
大吃一惊/震惊/吓一跳(副) どきっと
七上八下/心怦怦跳/忐忑不安(副) どきどき
棉花/棉[棉] わた
求婚(动2) プロポーズする
水蒸气/热气[湯気] ゆげ
眼前/面前[目の前] めのまえ
扇子/折扇[扇子] せんす
羽毛/翎毛[羽] はね
抹布 ぞうきん
突然/冷不防 いきなり
亚洲/东方/亚洲东部和东南部[東洋] とうよう
东方医学[東洋医学] とうよういがく
羡慕/眼红(形1) うらやましい
幽灵[幽霊] ゆうれい
喜欢/爱好(动1)[好む] このむ
相通(动3)[相通ずる] あいつうずる
环境[環境] かんきょう
